Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5419","Yield","1735","Vegetables Primary","1969","1969","hg/ha","72962","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","27","Rice","1969","1969","ha","37680304","A","Official figure"
"QCL","Crops and livestock products","100","India","5419","Yield","27","Rice","1969","1969","hg/ha","16094","E","Estimated value"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","15","Wheat","1969","1969","ha","117400","A","Official figure"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","15","Wheat","1969","1969","hg/ha","7964","E","Estimated value"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","1735","Vegetables Primary","1969","1969","ha","168499","E","Estimated value"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","1735","Vegetables Primary","1969","1969","hg/ha","67001","E","Estimated value"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice","1969","1969","ha","10314000","A","Official figure"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice","1969","1969","hg/ha","17459","E","Estimated value"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","15","Wheat","1969","1969","ha","6160000","A","Official figure"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","15","Wheat","1969","1969","hg/ha","10744","E","Estimated value"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","1735","Vegetables Primary","1969","1969","ha","115158","E","Estimated value"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","1735","Vegetables Primary","1969","1969","hg/ha","104879","E","Estimated value"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","27","Rice","1969","1969","ha","1622000","A","Official figure"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","27","Rice","1969","1969","hg/ha","22201","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","15","Wheat","1970","1970","ha","16625500","A","Official figure"
"QCL","Crops and livestock products","100","India","5419","Yield","15","Wheat","1970","1970","hg/ha","12086","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1735","Vegetables Primary","1970","1970","ha","3467270","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1735","Vegetables Primary","1970","1970","hg/ha","74090","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","27","Rice","1970","1970","ha","37591696","A","Official figure"
"QCL","Crops and livestock products","100","India","5419","Yield","27","Rice","1970","1970","hg/ha","16849","E","Estimated value"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","15","Wheat","1970","1970","ha","119800","A","Official figure"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","15","Wheat","1970","1970","hg/ha","8740","E","Estimated value"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","1735","Vegetables Primary","1970","1970","ha","171408","E","Estimated value"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","1735","Vegetables Primary","1970","1970","hg/ha","67285","E","Estimated value"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice","1970","1970","ha","9912800","A","Official figure"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice","1970","1970","hg/ha","16862","E","Estimated value"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","15","Wheat","1970","1970","ha","6229000","A","Official figure"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","15","Wheat","1970","1970","hg/ha","11710","E","Estimated value"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","1735","Vegetables Primary","1970","1970","ha","103757","E","Estimated value"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","1735","Vegetables Primary","1970","1970","hg/ha","114774","E","Estimated value"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","27","Rice","1970","1970","ha","1503423","A","Official figure"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","27","Rice","1970","1970","hg/ha","21939","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","15","Wheat","1971","1971","ha","18240496","A","Official figure"
"QCL","Crops and livestock products","100","India","5419","Yield","15","Wheat","1971","1971","hg/ha","13066","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1735","Vegetables Primary","1971","1971","ha","3557980","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1735","Vegetables Primary","1971","1971","hg/ha","74967","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","27","Rice","1971","1971","ha","37757808","A","Official figure"
"QCL","Crops and livestock products","100","India","5419","Yield","27","Rice","1971","1971","hg/ha","17110","E","Estimated value"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","15","Wheat","1971","1971","ha","125900","A","Official figure"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","15","Wheat","1971","1971","hg/ha","8880","E","Estimated value"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","1735","Vegetables Primary","1971","1971","ha","170362","E","Estimated value"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","1735","Vegetables Primary","1971","1971","hg/ha","66719","E","Estimated value"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice","1971","1971","ha","9297682","A","Official figure"
